sumula,padronizado,padronizado2
Abc/RN,ABC,ABC/RN
ABC/RN,ABC,ABC/RN
Altos/PI,Altos,Altos/PI
América/RN,América de Natal,América/RN
América de Natal/RN,América de Natal,América/RN
AMÉRICA / RN,América de Natal,América/RN
AMÉRICA/RN,América de Natal,América/RN
Bahia/BA,Bahia,Bahia/BA
Botafogo/PB,Botafogo,Botafogo/PB
BOTAFOGO/PB,Botafogo,Botafogo/PB
Campinense/PB,Campinense,Campinense/PB
Ceará/CE,Ceará,Ceará/CE
Confiança/SE,Confiança,Confiança/SE
Coruripe/AL,Coruripe,Coruripe/AL
Coruripe/AL ,Coruripe,Coruripe/AL 
C. R. B./AL,CRB,CRB/AL
C.r.b./AL,CRB,CRB/AL
CRB/AL,CRB,CRB/AL
Crb/AL,CRB,CRB/AL
C.s.a./AL,CSA,CSA/AL
Csa/AL,CSA,CSA/AL
Estanciano/SE,Estanciano,Estanciano/SE
Ferroviário/CE,Ferroviário,Ferroviário/CE
Flamengo/PI,Flamengo,Flamengo/PI
FORTALEZA/CE,Fortaleza,Fortaleza/CE
Fortaleza/CE,Fortaleza,Fortaleza/CE
Frei Paulistano/SE,Frei Paulistano,Frei Paulistano/SE
Globo/RN,Globo,Globo/RN
Guarany de Sobral/CE,Guarany de Sobral,Guarany de Sobral/CE
Guarany/CE,Guarany de Sobral,Guarany de Sobral/CE
Imperatriz/MA,Imperatriz,Imperatriz/MA
Itabaiana/SE,Itabaiana,Itabaiana/SE
Juazeirense/BA,Juazeirense,Juazeirense/BA
Moto Club/MA,Moto Club,Moto Club/MA
Náutico/PE,Náutico,Náutico/PE
PIAUI/PI,Piauí ,Piauí/PI
PIAUÍ/PI,Piauí ,Piauí/PI
Potiguar de Mossoro/RN,Potiguar,Potiguar/RN
Potiguar/RN,Potiguar,Potiguar/RN
River/PI,River,River/PI
RÍVER/PI,River,River/PI
Ríver/PI,Ríver,Ríver/PI
Salgueiro/PE,Salgueiro,Salgueiro/PE
Sampaio Correa/MA,Sampaio Corrêa,Sampaio Corrêa/MA
SAMPAIO CORREA/MA,Sampaio Corrêa,Sampaio Corrêa/MA
Sampaio Corrêa/MA,Sampaio Corrêa,Sampaio Corrêa/MA
Santa Cruz/PE,Santa Cruz,Santa Cruz/PE
Sergipe/SE,Sergipe,Sergipe/SE
Serrano/BA,Serrano,Serrano/BA
Socorrense/SE,Socorrense,Socorrense/SE
Sport/PE,Sport,Sport/PE
Treze/PB,Treze,Treze/PB
Uniclinic/CE,Uniclinic,Uniclinic/CE
Vitória da Conquista/BA,Vitória da Conquista,Vitória da Conquista/BA
Vitória/BA,Vitória,Vitória/BA
4 de Julho E. C./PI,4 de Julho,4 de Julho/PI
4 de Julho/PI,4 de Julho,4 de Julho/PI
